日期,部门,平台,子平台,成交金额,目标金额
2026/5/23,八喜,天猫,猫超,2.74,2.26
2026/5/23,八喜,拼多多,拼多多,0.12,0.07
2026/5/24,八喜,抖音,抖音,4.09,3.13
2026/5/24,八喜,京东,pop,0.12,0.12
2026/5/24,八喜,京东,自营,35.1,35.1
2026/5/24,八喜,天猫,猫旗,2.99,2.14
2026/5/24,八喜,天猫,猫超,1.99,1.75
2026/5/24,八喜,拼多多,拼多多,0.2,0.16
2026/5/25,八喜,抖音,抖音,4.09,2.62
2026/5/25,八喜,京东,pop,0.22,0.22
2026/5/25,八喜,京东,自营,42.59,42.59
2026/5/25,八喜,天猫,猫旗,4.01,3.05
2026/5/25,八喜,天猫,猫超,3.18,2.81
2026/5/25,八喜,拼多多,拼多多,0.35,0.29
2026/5/26,八喜,抖音,抖音,4.76,3.44
2026/5/26,八喜,京东,pop,3.91,3.91
2026/5/26,八喜,京东,自营,53.85,53.85
2026/5/26,八喜,天猫,猫旗,7.3,5.61
2026/5/26,八喜,天猫,猫超,2.54,2.15
2026/5/26,八喜,拼多多,拼多多,0.19,0.17
2026/5/27,八喜,抖音,抖音,4.34,2.5
2026/5/27,八喜,京东,pop,3.03,3.3
2026/5/27,八喜,京东,自营,77.91,42.0
2026/5/27,八喜,天猫,猫旗,74.27,100.0
2026/5/27,八喜,天猫,猫超,3.68,2.8
2026/5/27,八喜,拼多多,拼多多,0.2,0.18
2026/5/13,奶粉,抖音,抖音,3.87,3.87
2026/5/13,奶粉,京东,pop,0.2,0.21
2026/5/13,奶粉,京东,自营,6.54,6.54
2026/5/13,奶粉,天猫,猫旗,1.05,1.05
2026/5/13,奶粉,拼多多,拼多多,2.08,2.08
2026/5/14,奶粉,抖音,抖音,17.84,17.84
2026/5/14,奶粉,京东,pop,0.23,0.24
2026/5/14,奶粉,京东,自营,4.47,4.47
2026/5/14,奶粉,天猫,猫旗,0.92,0.92
2026/5/14,奶粉,拼多多,拼多多,2.37,2.37
2026/5/15,奶粉,抖音,抖音,17.97,17.97
2026/5/15,奶粉,京东,pop,0.13,0.16
2026/5/15,奶粉,京东,自营,3.77,3.77
2026/5/15,奶粉,天猫,猫旗,0.4,0.4
2026/5/15,奶粉,拼多多,拼多多,2.47,2.47
2026/5/16,奶粉,抖音,抖音,10.14,10.14
2026/5/16,奶粉,京东,pop,0.16,0.13
2026/5/16,奶粉,京东,自营,3.68,3.68
2026/5/16,奶粉,天猫,猫旗,0.48,0.48
2026/5/16,奶粉,拼多多,拼多多,2.14,2.14
2026/5/17,奶粉,抖音,抖音,5.59,5.59
2026/5/17,奶粉,京东,pop,0.12,0.22
2026/5/17,奶粉,京东,自营,3.58,3.58
2026/5/17,奶粉,天猫,猫旗,0.27,0.27
2026/5/17,奶粉,拼多多,拼多多,2.46,2.46
2026/5/18,奶粉,抖音,抖音,10.84,10.84
2026/5/18,奶粉,京东,pop,0.26,0.23
2026/5/18,奶粉,京东,自营,3.98,3.98
2026/5/18,奶粉,天猫,猫旗,0.4,0.4
2026/5/18,奶粉,拼多多,拼多多,1.99,2.0
2026/5/19,奶粉,抖音,抖音,6.32,6.32
2026/5/19,奶粉,京东,pop,0.24,0.18
2026/5/19,奶粉,京东,自营,3.82,3.82
2026/5/19,奶粉,天猫,猫旗,0.48,0.49
2026/5/19,奶粉,拼多多,拼多多,2.02,2.02
2026/5/20,奶粉,抖音,抖音,11.95,11.95
2026/5/20,奶粉,京东,pop,0.1,0.09
2026/5/20,奶粉,京东,自营,74.09,71.69
2026/5/20,奶粉,天猫,猫旗,1.08,1.08
2026/5/20,奶粉,拼多多,拼多多,2.04,2.04
2026/5/21,奶粉,抖音,抖音,6.14,6.14
2026/5/21,奶粉,京东,pop,0.14,0.14
2026/5/21,奶粉,京东,自营,18.85,14.97
2026/5/21,奶粉,天猫,猫旗,1.83,1.83
2026/5/21,奶粉,拼多多,拼多多,2.12,2.12
2026/5/22,奶粉,抖音,抖音,3.61,3.61
2026/5/22,奶粉,京东,pop,0.15,0.15
2026/5/22,奶粉,京东,自营,16.2,13.88
2026/5/22,奶粉,天猫,猫旗,1.26,1.25
2026/5/22,奶粉,拼多多,拼多多,2.41,2.41
2026/5/23,奶粉,抖音,抖音,4.58,4.58
2026/5/23,奶粉,京东,pop,0.07,0.07
2026/5/23,奶粉,京东,自营,4.51,2.37
2026/5/23,奶粉,天猫,猫旗,0.45,0.45
2026/5/23,奶粉,拼多多,拼多多,2.0,1.99
2026/5/24,奶粉,抖音,抖音,3.75,3.75
2026/5/24,奶粉,京东,pop,0.12,0.12
2026/5/24,奶粉,京东,自营,32.39,29.85
2026/5/24,奶粉,天猫,猫旗,0.51,0.51
2026/5/24,奶粉,拼多多,拼多多,2.08,2.08
2026/5/25,奶粉,抖音,抖音,4.38,4.38
2026/5/25,奶粉,京东,pop,0.08,0.08
